Pool name,pool type,n_oligos,unique_sequences
RBD_SARS2_XBB.1.5_targeted_mutations_forward_oPool,targeted_mutations,3837,3837
RBD_SARS2_XBB.1.5_targeted_mutations_reverse_oPool,targeted_mutations,3837,3837
RBD_SARS2_XBB.1.5_saturated_sites_forward_oPool,saturated_sites,204,3264
RBD_SARS2_XBB.1.5_saturated_sites_reverse_oPool,saturated_sites,204,3264
